username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Bitcoin,2016-12-06T17:01:00Z,8,9,Donald Trump 's Transition is a Trial Run for Smart Contracts http:// ow.ly/lTj3507gy5q,N/A,N/A,N/A,806166704321687552,https://twitter.com/Bitcoin/status/806166704321687552
Bitcoin,2016-11-13T19:01:00Z,14,18,Will Bitcoin Have Its Moment in the Trump Era? http:// ow.ly/o2gB506shA4,N/A,N/A,N/A,797862018166366208,https://twitter.com/Bitcoin/status/797862018166366208
Bitcoin,2016-11-09T17:01:00Z,6,7,"Despite Trump Bump, Bitcoin Still Strives for 'Safe Haven' Status http:// ow.ly/dzbN506kdcx",N/A,N/A,N/A,796382113020989440,https://twitter.com/Bitcoin/status/796382113020989440
Bitcoin,2016-11-09T07:01:00Z,35,12,"Bitcoin Bounces, Futures Flounder as Trump Nears Presidential Upset http:// ow.ly/c6Bq506ji71",N/A,N/A,N/A,796231195176603652,https://twitter.com/Bitcoin/status/796231195176603652
Bitcoin,2016-11-08T13:01:00Z,7,9,Bitcoin Traders Believe Trump Win Could Trigger Price Boost http:// ow.ly/H8lC506hjuR,N/A,N/A,N/A,795959514428309504,https://twitter.com/Bitcoin/status/795959514428309504
Bitcoin,2016-04-25T01:12:00Z,22,12,How Bitcoin will smash Donald Trump 's Mexican remittance wall http:// bit.ly/1VXOPVR pic.twitter.com/PYRIM5YVet,N/A,N/A,N/A,724375388273688576,https://twitter.com/Bitcoin/status/724375388273688576
Bitcoin,2016-04-09T18:50:00Z,15,5,"Introducing TrumpCoin, The Currency For Donald Trump Supporters http:// voc.tv/1Sd2bI2",N/A,N/A,N/A,718843455376596994,https://twitter.com/Bitcoin/status/718843455376596994
Bitcoin,2016-02-23T01:12:00Z,15,5,â€œDonald Trump Meets Bitcoinâ€� http:// bit.ly/1VyIQ7I,N/A,N/A,N/A,701922430147817472,https://twitter.com/Bitcoin/status/701922430147817472
Bitcoin,2016-02-21T19:03:00Z,10,3,"With Satirical Trumpchain, Donald Trump Meets Bitcoin http:// ow.ly/3bzryV",N/A,N/A,N/A,701467183583469568,https://twitter.com/Bitcoin/status/701467183583469568
