username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
fsf,2017-03-26T22:30:00Z,5,7,#LibrePlanet Block 6B 16:35 â€“ 17:20: #Bitcoin #blockchain (32-123) @SkyeElijah ; #GNU Philosophy (32-141) @aprilorg,N/A,@SkyeElijah @aprilorg,#LibrePlanet #Bitcoin #blockchain #GNU,846097169635528704,https://twitter.com/fsf/status/846097169635528704
fsf,2015-09-10T23:29:00Z,14,10,Bitcoin Magazine covers #GNU Taler's work on privacy-respecting digital currency that governments can tax: https:// u.fsf.org/1ed,N/A,N/A,#GNU,642087510965923840,https://twitter.com/fsf/status/642087510965923840
fsf,2015-09-01T00:03:00Z,8,7,ICYMI: We joined @EFF to fight unclear regulations on Bitcoin and other virtual currency. https:// u.fsf.org/1dy,N/A,@EFF,N/A,638472104518778880,https://twitter.com/fsf/status/638472104518778880
fsf,2013-11-07T18:58:00Z,1,1,#Bitcoin is now over $300. Donate some your cryptocurrency to the FSF to help us fight for your privacy and freedom. https:// fsf.org/donate,N/A,N/A,#Bitcoin,398509881877340160,https://twitter.com/fsf/status/398509881877340160
fsf,2013-10-11T20:44:00Z,4,1,Cryptocurrency burning a hole in your pocket?The FSF accepts #bitcoin and #litecoin donations. https:// u.fsf.org/7d,N/A,N/A,#bitcoin #litecoin,388736810140323840,https://twitter.com/fsf/status/388736810140323840
fsf,2013-08-09T21:54:00Z,0,0,#ThankGNU to Chris Allegretta and Bitcoin Grant for donating. #gnu #fsf #lp - All ThankGNUs: https:// â€¦ https:// status.fsf.org/notice/34672,N/A,N/A,#ThankGNU #gnu #fsf #lp,365924143637594112,https://twitter.com/fsf/status/365924143637594112
