Date,Open,High,Low,Close,Gain,Volume,Adj Close
2017-04-10,3820.790039,3827.149902,3810.75,3822.080078,Gain,0,3822.080078
2017-04-07,3806.75,3822.159912,3804.350098,3819.439941,Gain,23615400,3819.439941
2017-04-06,3791.98999,3822.389893,3784.030029,3820.800049,Gain,0,3820.800049
2017-04-05,3808.409912,3824.580078,3802.73999,3808.75,Gain,0,3808.75
2017-04-04,3806.139893,3817.72998,3790.350098,3805.120117,Loss,0,3805.120117
2017-04-03,3816.639893,3823.189941,3798.25,3800.439941,Loss,0,3800.439941
2017-03-31,3785.310059,3817.100098,3783.110107,3817.02002,Gain,0,3817.02002
2017-03-30,3787.659912,3798.870117,3775.810059,3795.27002,Gain,0,3795.27002
2017-03-29,3781.48999,3787.540039,3764.449951,3787.540039,Gain,0,3787.540039
2017-03-28,3749.179932,3769.800049,3738.300049,3768.850098,Gain,0,3768.850098
2017-03-27,3722.320068,3740.73999,3718.189941,3739.540039,Gain,0,3739.540039
2017-03-24,3759.919922,3759.919922,3740.219971,3747.429932,Loss,0,3747.429932
2017-03-23,3729.639893,3763.100098,3720.51001,3763.100098,Gain,0,3763.100098
2017-03-22,3732.580078,3739.850098,3706.719971,3730.01001,Loss,0,3730.01001
2017-03-21,3799.340088,3802.01001,3753.570068,3759.439941,Loss,0,3759.439941
2017-03-20,3785.060059,3801.830078,3781.939941,3791.120117,Gain,0,3791.120117
2017-03-17,3772.550049,3799.860107,3772.550049,3799.860107,Gain,0,3799.860107
2017-03-16,3786.360107,3800.060059,3773.169922,3778.129883,Loss,0,3778.129883
2017-03-15,3755.159912,3765.199951,3745.72998,3759.810059,Gain,0,3759.810059
2017-03-14,3767.949951,3767.949951,3740.389893,3750.830078,Loss,0,3750.830078
2017-03-13,3770.469971,3772.27002,3758.340088,3771.040039,Gain,0,3771.040039
2017-03-10,3756.080078,3778.899902,3753.179932,3764.649902,Gain,0,3764.649902
2017-03-09,3699.469971,3746.929932,3694.48999,3744.540039,Gain,0,3744.540039
2017-03-08,3685.25,3711.72998,3674.149902,3699.469971,Gain,0,3699.469971
2017-03-07,3690.810059,3691.110107,3670.889893,3684.129883,Loss,0,3684.129883
2017-03-06,3691.699951,3694.840088,3677.399902,3687.060059,Loss,0,3687.060059
2017-03-03,3659.209961,3706.540039,3654.449951,3702.860107,Gain,0,3702.860107
2017-03-02,3658.52002,3679.600098,3658.52002,3668.370117,Gain,0,3668.370117
2017-03-01,3613.899902,3662.070068,3613.340088,3660.51001,Gain,0,3660.51001
2017-02-28,3581.929932,3588.429932,3558.969971,3584.129883,Gain,0,3584.129883
2017-02-27,3577.139893,3582.629883,3567.629883,3575.459961,Loss,0,3575.459961
2017-02-24,3606.0,3606.0,3550.419922,3575.75,Loss,0,3575.75
2017-02-23,3625.51001,3627.949951,3602.120117,3607.370117,Loss,0,3607.370117
2017-02-22,3630.72998,3643.860107,3607.199951,3623.639893,Loss,0,3623.639893
2017-02-21,3617.350098,3637.189941,3604.280029,3628.409912,Gain,0,3628.409912
2017-02-20,3631.949951,3633.830078,3610.51001,3619.139893,Loss,17527100,3619.139893
2017-02-17,3622.879883,3633.580078,3592.72998,3610.439941,Loss,0,3610.439941
2017-02-16,3619.780029,3628.050049,3614.080078,3619.27002,Loss,0,3619.27002
2017-02-15,3629.51001,3634.050049,3613.340088,3618.560059,Loss,0,3618.560059
2017-02-14,3617.25,3626.399902,3605.459961,3624.189941,Gain,0,3624.189941
2017-02-13,3597.27002,3621.090088,3589.47998,3617.600098,Gain,0,3617.600098
2017-02-10,3612.879883,3616.969971,3582.280029,3590.949951,Loss,0,3590.949951
2017-02-09,3591.98999,3612.830078,3587.419922,3611.669922,Gain,0,3611.669922
2017-02-08,3596.080078,3601.350098,3562.070068,3584.030029,Loss,0,3584.030029
2017-02-07,3566.889893,3599.790039,3565.189941,3589.709961,Gain,0,3589.709961
2017-02-06,3614.889893,3625.709961,3577.350098,3578.100098,Loss,0,3578.100098
2017-02-03,3597.27002,3615.570068,3594.550049,3606.159912,Gain,0,3606.159912
2017-02-02,3577.419922,3595.149902,3569.800049,3586.830078,Gain,0,3586.830078
2017-02-01,3562.780029,3590.129883,3562.780029,3575.199951,Gain,0,3575.199951
2017-01-31,3565.580078,3585.25,3542.27002,3542.27002,Loss,0,3542.27002
