Date,Open,High,Low,Close,Gain,Volume,Adj Close
2017-04-11,3288.97,3288.97,3288.97,3288.97,Gain,0,3288.97
2017-04-10,3269.39,3269.39,3269.39,3269.39,Gain,0,3269.39
2017-04-07,3286.62,3286.62,3286.62,3286.62,Gain,0,3286.62
2017-04-06,3281.0,3281.0,3281.0,3281.0,Gain,0,3281.0
2017-04-05,3270.31,3270.31,3270.31,3270.31,Gain,0,3270.31
2017-03-31,3222.51,3222.51,3222.51,3222.51,Gain,0,3222.51
2017-03-30,3210.24,3210.24,3210.24,3210.24,Gain,0,3210.24
2017-03-29,3241.31,3241.31,3241.31,3241.31,Gain,0,3241.31
2017-03-28,3252.95,3252.95,3252.95,3252.95,Gain,0,3252.95
2017-03-27,3266.96,3266.96,3266.96,3266.96,Gain,0,3266.96
2017-03-24,3269.45,3269.45,3269.45,3269.45,Gain,0,3269.45
2017-03-23,3248.55,3248.55,3248.55,3248.55,Gain,0,3248.55
2017-03-22,3245.22,3245.22,3245.22,3245.22,Gain,0,3245.22
2017-03-21,3261.61,3261.61,3261.61,3261.61,Gain,0,3261.61
2017-03-20,3250.81,3250.81,3250.81,3250.81,Gain,0,3250.81
2017-03-17,3237.45,3237.45,3237.45,3237.45,Gain,0,3237.45
2017-03-16,3268.94,3268.94,3268.94,3268.94,Gain,0,3268.94
2017-03-15,3241.76,3241.76,3241.76,3241.76,Gain,0,3241.76
2017-03-14,3239.33,3239.33,3239.33,3239.33,Gain,0,3239.33
2017-03-13,3237.02,3237.02,3237.02,3237.02,Gain,0,3237.02
2017-03-10,3212.76,3212.76,3212.76,3212.76,Gain,0,3212.76
2017-03-09,3216.75,3216.75,3216.75,3216.75,Gain,0,3216.75
2017-03-08,3240.66,3240.66,3240.66,3240.66,Gain,0,3240.66
2017-03-07,3242.41,3242.41,3242.41,3242.41,Gain,0,3242.41
2017-03-06,3233.87,3233.87,3233.87,3233.87,Gain,0,3233.87
2017-03-03,3218.31,3218.31,3218.31,3218.31,Gain,0,3218.31
2017-03-02,3230.03,3230.03,3230.03,3230.03,Gain,0,3230.03
2017-03-01,3246.93,3246.93,3246.93,3246.93,Gain,0,3246.93
2017-02-28,3241.73,3241.73,3241.73,3241.73,Gain,0,3241.73
2017-02-27,3228.66,3228.66,3228.66,3228.66,Gain,0,3228.66
2017-02-24,3253.43,3253.43,3253.43,3253.43,Gain,0,3253.43
2017-02-23,3251.38,3251.38,3251.38,3251.38,Gain,0,3251.38
2017-02-22,3261.22,3261.22,3261.22,3261.22,Gain,0,3261.22
2017-02-21,3253.33,3253.33,3253.33,3253.33,Gain,0,3253.33
2017-02-17,3202.08,3202.08,3202.08,3202.08,Gain,0,3202.08
2017-02-16,3229.62,3229.62,3229.62,3229.62,Gain,0,3229.62
2017-02-15,3212.99,3212.99,3212.99,3212.99,Gain,0,3212.99
2017-02-14,3217.93,3217.93,3217.93,3217.93,Gain,0,3217.93
2017-02-13,3216.84,3216.84,3216.84,3216.84,Gain,0,3216.84
2017-02-10,3196.7,3196.7,3196.7,3196.7,Gain,0,3196.7
2017-02-09,3183.18,3183.18,3183.18,3183.18,Gain,0,3183.18
2017-02-08,3166.98,3166.98,3166.98,3166.98,Gain,0,3166.98
2017-02-07,3153.09,3153.09,3153.09,3153.09,Gain,0,3153.09
2017-02-06,3156.98,3156.98,3156.98,3156.98,Gain,0,3156.98
2017-02-03,3140.17,3140.17,3140.17,3140.17,Gain,0,3140.17
2017-01-26,3159.17,3159.17,3159.17,3159.17,Gain,0,3159.17
2017-01-25,3149.55,3149.55,3149.55,3149.55,Gain,0,3149.55
2017-01-20,3123.14,3123.14,3123.14,3123.14,Gain,0,3123.14
2017-01-19,3101.3,3101.3,3101.3,3101.3,Gain,0,3101.3
2017-01-18,3113.01,3113.01,3113.01,3113.01,Gain,0,3113.01
2017-01-17,3108.77,3108.77,3108.77,3108.77,Gain,0,3108.77
2017-01-16,3103.43,3103.43,3103.43,3103.43,Gain,0,3103.43
2017-01-13,3112.76,3112.76,3112.76,3112.76,Gain,0,3112.76
2017-01-12,3119.29,3119.29,3119.29,3119.29,Gain,0,3119.29
2017-01-11,3136.75,3136.75,3136.75,3136.75,Gain,0,3136.75
2017-01-10,3161.67,3161.67,3161.67,3161.67,Gain,0,3161.67
2017-01-09,3171.24,3171.24,3171.24,3171.24,Gain,0,3171.24
2017-01-06,3154.32,3154.32,3154.32,3154.32,Gain,0,3154.32
2017-01-05,3165.41,3165.41,3165.41,3165.41,Gain,0,3165.41
2017-01-04,3158.79,3158.79,3158.79,3158.79,Gain,0,3158.79
2017-01-03,3135.92,3135.92,3135.92,3135.92,Gain,0,3135.92
2016-12-30,3103.64,3103.64,3103.64,3103.64,Gain,0,3103.64
2016-12-29,3096.1,3096.1,3096.1,3096.1,Gain,0,3096.1
2016-12-28,3102.24,3102.24,3102.24,3102.24,Gain,0,3102.24
2016-12-27,3114.66,3114.66,3114.66,3114.66,Gain,0,3114.66
2016-12-26,3122.57,3122.57,3122.57,3122.57,Gain,0,3122.57
2016-12-23,3110.15,3110.15,3110.15,3110.15,Gain,0,3110.15
2016-12-22,3139.56,3139.56,3139.56,3139.56,Gain,0,3139.56
2016-12-21,3137.43,3137.43,3137.43,3137.43,Gain,0,3137.43
2016-12-20,3102.88,3102.88,3102.88,3102.88,Gain,0,3102.88
2016-12-19,3118.08,3118.08,3118.08,3118.08,Gain,0,3118.08
2016-12-16,3122.98,3122.98,3122.98,3122.98,Gain,0,3122.98
2016-12-13,3155.04,3155.04,3155.04,3155.04,Gain,0,3155.04
2016-12-12,3152.97,3152.97,3152.97,3152.97,Gain,0,3152.97
2016-12-09,3232.88,3232.88,3232.88,3232.88,Gain,0,3232.88
