Date,Open,High,Low,Close,Gain,Volume,Adj Close
2017-04-10,10507.900391,10509.0,10436.5,10437.700195,Loss,222748500,10437.700195
2017-04-07,10466.900391,10529.0,10443.5,10529.0,Gain,188476400,10529.0
2017-04-06,10349.599609,10534.5,10322.0,10518.900391,Gain,230287500,10518.900391
2017-04-05,10377.200195,10467.299805,10369.099609,10402.700195,Gain,254049700,10402.700195
2017-04-04,10304.099609,10361.200195,10270.299805,10361.200195,Gain,303646300,10361.200195
2017-04-03,10457.700195,10457.700195,10324.599609,10325.299805,Loss,321622900,10325.299805
2017-03-31,10368.5,10462.900391,10352.200195,10462.900391,Gain,252476900,10462.900391
2017-03-30,10372.099609,10406.0,10348.5,10405.900391,Gain,207203700,10405.900391
2017-03-29,10409.200195,10424.5,10303.200195,10367.599609,Loss,232255800,10367.599609
2017-03-28,10345.599609,10394.799805,10312.900391,10389.0,Gain,215145300,10389.0
2017-03-27,10218.5,10302.900391,10191.099609,10302.900391,Gain,221937100,10302.900391
2017-03-24,10312.5,10330.299805,10276.200195,10309.400391,Loss,189556100,10309.400391
2017-03-23,10248.900391,10324.900391,10202.0,10324.900391,Gain,226579900,10324.900391
2017-03-22,10151.799805,10268.799805,10092.799805,10229.299805,Gain,299747100,10229.299805
2017-03-21,10270.5,10334.700195,10188.900391,10211.900391,Loss,313017600,10211.900391
2017-03-20,10216.700195,10243.0,10189.0,10214.0,Loss,188819600,10214.0
2017-03-17,10153.0,10250.200195,10143.900391,10245.799805,Gain,452778600,10245.799805
2017-03-16,10090.799805,10175.299805,10063.700195,10168.0,Gain,412425100,10168.0
2017-03-15,9931.200195,10000.099609,9913.200195,9983.200195,Gain,265807200,9983.200195
2017-03-14,9987.700195,9995.0,9886.900391,9905.099609,Loss,234655700,9905.099609
2017-03-13,10020.0,10023.400391,9957.400391,9995.900391,Loss,193631600,9995.900391
2017-03-10,10038.799805,10091.400391,9989.099609,10006.400391,Loss,405124800,10006.400391
2017-03-09,9844.900391,10014.5,9837.400391,9998.400391,Gain,390804800,9998.400391
2017-03-08,9792.299805,9881.299805,9785.099609,9850.5,Gain,247118100,9850.5
2017-03-07,9817.700195,9819.799805,9767.400391,9801.700195,Loss,172061100,9801.700195
2017-03-06,9772.299805,9825.299805,9753.900391,9804.099609,Gain,228402800,9804.099609
2017-03-03,9694.5,9799.599609,9669.200195,9798.5,Gain,308709300,9798.5
2017-03-02,9753.099609,9762.299805,9715.799805,9716.0,Loss,275016300,9716.0
2017-03-01,9618.0,9756.5,9616.599609,9751.5,Gain,351704200,9751.5
2017-02-28,9515.0,9570.700195,9484.0,9555.5,Gain,279234600,9555.5
2017-02-27,9494.0,9499.299805,9427.700195,9464.299805,Loss,194245300,9464.299805
2017-02-24,9513.700195,9530.400391,9383.099609,9453.5,Loss,285872900,9453.5
2017-02-23,9519.799805,9541.799805,9479.700195,9493.400391,Loss,276005300,9493.400391
2017-02-22,9577.700195,9606.099609,9439.700195,9477.200195,Loss,280841300,9477.200195
2017-02-21,9523.599609,9591.299805,9467.599609,9561.0,Gain,209805000,9561.0
2017-02-20,9564.400391,9577.700195,9512.0,9526.599609,Loss,173498600,9526.599609
2017-02-17,9564.799805,9571.0,9438.200195,9500.299805,Loss,234061700,9500.299805
2017-02-16,9582.5,9614.599609,9526.0,9554.700195,Loss,213987000,9554.700195
2017-02-15,9557.099609,9612.799805,9528.200195,9584.099609,Gain,235349200,9584.099609
2017-02-14,9489.099609,9528.599609,9461.0,9510.200195,Gain,206909700,9510.200195
2017-02-13,9421.900391,9501.299805,9387.700195,9484.099609,Gain,178862800,9484.099609
2017-02-10,9478.200195,9498.299805,9356.0,9378.099609,Loss,231384700,9378.099609
2017-02-09,9353.900391,9444.900391,9318.099609,9438.400391,Gain,274080900,9438.400391
2017-02-08,9362.0,9378.400391,9236.599609,9329.700195,Loss,312727400,9329.700195
2017-02-07,9321.900391,9389.200195,9304.5,9331.5,Gain,284076000,9331.5
2017-02-06,9459.400391,9482.0,9337.400391,9357.299805,Loss,287143900,9357.299805
2017-02-03,9435.299805,9482.599609,9396.799805,9462.700195,Gain,393825900,9462.700195
2017-02-02,9321.200195,9426.400391,9301.5,9406.400391,Gain,293592400,9406.400391
2017-02-01,9416.0,9423.299805,9304.5,9330.799805,Loss,304379900,9330.799805
2017-01-31,9365.900391,9430.299805,9315.200195,9315.200195,Loss,282766800,9315.200195
2017-01-30,9460.599609,9472.799805,9349.099609,9361.299805,Loss,220036700,9361.299805
2017-01-27,9531.400391,9533.5,9420.200195,9504.099609,Loss,234868100,9504.099609
2017-01-26,9601.599609,9623.5,9495.5,9512.799805,Loss,285947300,9512.799805
2017-01-25,9483.5,9588.799805,9479.400391,9549.299805,Gain,404755500,9549.299805
